candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,scenario_index,day_index,t0
100,0.45,0.375,0.0,0,0,0
100,0.45,0.375,0.0,1,9,864
100,0.45,0.375,0.0,2,41,3936
100,0.45,0.375,0.0,3,51,4896
100,0.45,0.375,0.0,4,71,6816
100,0.45,0.375,0.0,5,120,11520
100,0.45,0.375,0.0,6,149,14304
100,0.45,0.375,0.0,7,175,16800
100,0.45,0.375,0.0,8,201,19296
100,0.45,0.375,0.0,9,209,20064
100,0.45,0.375,0.0,10,216,20736
100,0.45,0.375,0.0,11,234,22464
100,0.45,0.375,0.0,12,268,25728
100,0.45,0.375,0.0,13,284,27264
100,0.45,0.375,0.0,14,291,27936
100,0.45,0.375,0.0,15,296,28416
100,0.45,0.375,0.0,16,350,33600
105,0.45,0.5625,0.0,0,0,0
105,0.45,0.5625,0.0,1,9,864
105,0.45,0.5625,0.0,2,41,3936
105,0.45,0.5625,0.0,3,51,4896
105,0.45,0.5625,0.0,4,71,6816
105,0.45,0.5625,0.0,5,120,11520
105,0.45,0.5625,0.0,6,149,14304
105,0.45,0.5625,0.0,7,175,16800
105,0.45,0.5625,0.0,8,201,19296
105,0.45,0.5625,0.0,9,209,20064
105,0.45,0.5625,0.0,10,216,20736
105,0.45,0.5625,0.0,11,234,22464
105,0.45,0.5625,0.0,12,268,25728
105,0.45,0.5625,0.0,13,284,27264
105,0.45,0.5625,0.0,14,291,27936
105,0.45,0.5625,0.0,15,296,28416
105,0.45,0.5625,0.0,16,350,33600
267,0.9,1.5,0.5,0,0,0
267,0.9,1.5,0.5,1,9,864
267,0.9,1.5,0.5,2,41,3936
267,0.9,1.5,0.5,3,51,4896
267,0.9,1.5,0.5,4,71,6816
267,0.9,1.5,0.5,5,120,11520
267,0.9,1.5,0.5,6,149,14304
267,0.9,1.5,0.5,7,175,16800
267,0.9,1.5,0.5,8,201,19296
267,0.9,1.5,0.5,9,209,20064
267,0.9,1.5,0.5,10,216,20736
267,0.9,1.5,0.5,11,234,22464
267,0.9,1.5,0.5,12,268,25728
267,0.9,1.5,0.5,13,284,27264
267,0.9,1.5,0.5,14,291,27936
267,0.9,1.5,0.5,15,296,28416
267,0.9,1.5,0.5,16,350,33600
